SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1964914,O24DMCA13-D1,O24 LEGGING MUJER LYCRA AOP STONE,False,BSM ENTERPRISE LTD.,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1964903,O24DMPO05-D3,O24 POLERA MUJER DEP MICRO MC E3 MAGEN,False,BSM ENTERPRISE LTD.,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1964818,O24MJCQ18-K1,O24 CHAQUETA MUJER SOBRECAM BLACK,False,PASTEL APPARELS LIMITED,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1964808,O24MJCH05-B3,O24 TAPADO MUJER ML CAMAN E2 NAVY MEL,False,TIANJIN TIANTAI GARMENT I/E CO LTD.,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1967463,O24KBPL01-K1,OI24 POLERON NINO LENTEJUELAS BLUE,False,ANHUI GARMENTS IM. & EX.CO.LTD,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1964807,O24MJCH05-B2,O24 TAPADO MUJER ML CAMAN E2 BEIGE MEL,False,TIANJIN TIANTAI GARMENT I/E CO LTD.,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1964805,O24MJPL46-B3,O24 POLERON MUJER BASICO CR LARGO MALVA,False,NINGBO CHINA-BASE LANDHAU FOREIGN,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1964842,O24MJBL10-B1,O24 BLUSA MUJER ROLL UP E3 BLACK,False,TIANJIN FANGRUN INTERNATIONAL,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1967477,OI24KBPO03-B2,OI24 POLERA NINO ML PANADERO GREY,False,STITCH (BD) KNITWEAR,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967480,OI24KBPO12-B2,OI24 POLERA NINO ML DOBLE MANGA GREY MEL,False,STITCH (BD) KNITWEAR,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1966436,OI24KBBX02B2,OI24 PX2 BOXER NNO C.E PRNT ROBTS PIRAT,False,ZAOZHUANG MEILIYA KNITTING & CLOTHI,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1967426,OI24KBPL01-B1,OI24 POLERON NINO FZ DIRTY BLUE,False,"ANHUI KNITEX CO., LTD",VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1966422,OI24KGCZ02B2,OI24 PX3 CALZONES NINA PRNT FRUITS WILD,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1964827,O24MJJE02-B2,O24 JEGGINS MUJER BAS DENIM E2 DK INDG,False,PASTEL APPARELS LIMITED,VESTUARIO,Maria Concepcion Sanchez,False,No completado - Nuevo
1968176,MB2013TT99-0018,SET 6 VASOS LAL 480ML TURQUIA.,False,GUROK PAZARLAMA VE TICARET A.S.,NON FOOD SOFT,Chie Duval,False,No completado - Nuevo
1966419,OI24KGCZ01B3,OI24 PX3 CALZONES NINA LISOS PINK,False,"XIAMEN HONESTY INDUSTRIAL CO,LTD",VESTUARIO,Daniela Walters,False,No completado - Nuevo
1967389,MC1000OI24-SP-14,COPA ESPUMANTE SP,False,"SHANXI BEIGAO HOUSEWARES CO., LTD.",NON FOOD,Francesca Meriggio,False,No completado - Nuevo
